target_time,sv,X_b,Y_b,Z_b,x_p,y_p,z_p,Error_X,Error_Y,Error_Z,3D_Error,R_Error,A_Error,C_Error
2025-01-01 00:05:00,G01,16127773.863263618,2937130.968919266,20905518.36211621,16127774.381,2937129.891,20905520.738,-0.5177363809198141,1.0779192661866546,-2.3758837915956974,2.6598467428991976,-2.0647536864885754,1.6124368922938026,-0.4600262799158451
2025-01-01 00:10:00,G01,16334427.241308888,3700773.2687506434,20621911.067591947,16334427.806,3700772.236,20621913.499,-0.5646911114454269,1.032750643324107,-2.431408055126667,2.701332092351229,-2.0906957294062978,1.661811128922361,-0.4056725428208412
2025-01-01 00:15:00,G01,16550748.72721621,4449852.521859629,20298854.23945687,16550749.341999998,4449851.525,20298856.724,-0.614783788099885,0.9968596287071704,-2.48454312980175,2.746751315518338,-2.1144265474113864,1.7191173916894542,-0.3442071447464876
2025-01-01 00:20:00,G01,16775758.140260998,5182892.493227537,19936965.509533573,16775758.806999998,5182891.527,19936968.045,-0.6667390000075102,0.9662275370210408,-2.535466428846121,2.794051996515896,-2.1352841337407176,1.7804667207578528,-0.2778965341694567
2025-01-01 00:25:00,G01,17008399.647708874,5898484.457240517,19536936.74008004,17008400.367999997,5898483.516,19536939.325,-0.7202911227941513,0.9412405174225568,-2.584919959306717,2.8436884866729306,-2.1531215114604767,1.8460369208111809,-0.2068324276420567
2025-01-01 00:30:00,G01,17247546.3472076,6595292.423167711,19099532.70901383,17247547.124,6595291.5030000005,19099535.34,-0.7767924033105373,0.9201677106320858,-2.6309861689805984,2.893475984849029,-2.1673930728709987,1.912521874209963,-0.1298869633076382
2025-01-01 00:35:00,G01,17492005.173270028,7272058.04961855,18625589.656367924,17492006.008,7272057.149999999,18625592.331,-0.8347299732267857,0.8996185502037406,-2.6746320761740208,2.9427443665688706,-2.178539505674326,1.9776628795875903,-0.0505921326928127
2025-01-01 00:40:00,G01,17740522.106799036,7927605.227250761,18116013.69462942,17740523.001000002,7927604.349,18116016.41,-0.8942009657621384,0.8782507609575987,-2.7153705805540085,2.990678377229948,-2.1867207459542715,2.0399751809112563,0.030179405395609
2025-01-01 00:45:00,G01,17991787.66529113,8560844.310413122,17571779.08586711,17991788.622,8560843.456,17571781.838,-0.9567088708281516,0.8544131219387054,-2.7521328888833523,3.036371038680179,-2.192952246203076,2.097113623976292,0.1123564797492813
2025-01-01 00:50:00,G01,18244442.65013732,9170775.979897523,16993926.38880502,18244443.67,9170775.154,16993929.173,-1.0198626816272736,0.8258975241333246,-2.784194979816675,3.077981204520571,-2.196301624770116,2.147829602137884,0.1924979703640283
2025-01-01 00:55:00,G01,18497084.12632025,9756494.720544502,16383560.47924588,18497085.212,9756493.93,16383563.292,-1.0856797508895395,0.7905445024371147,-2.8127541188150644,3.11692907598749,-2.2002521330953684,2.1912569734991045,0.269314484640262
2025-01-01 01:00:00,G01,18748271.60879154,10317191.899088942,15741848.447490811,18748272.763,10317191.151,15741851.282,-1.1542084589600563,0.7480889409780502,-2.834509188309312,3.150599398361925,-2.2036377039188992,2.225455966921187,0.342933197752056
2025-01-01 01:05:00,G01,18996533.34967617,10852157.65708754,15070017.764174009,18996534.655,10852157.733,15070020.227000002,-1.3053238317370417,-0.0759124588221311,-2.462825993075967,2.78839467781656,-2.361503025426992,1.4822579501961717,0.0368742356547545
2025-01-01 01:10:00,G01,19240373.145300463,11360786.296022382,14369352.343821611,19240374.554,11360786.38,14369354.865,-1.4086995385587215,-0.0839776191860437,-2.52117838896811,2.8892606492768262,-2.419872267298904,1.5740078955483638,0.1206003904165097
2025-01-01 01:15:00,G01,19478276.59663449,11842573.305872634,13641192.564109055,19478278.108,11842573.389,13641195.142,-1.5113655105233192,-0.0831273663789033,-2.577890945598483,2.9894242912037674,-2.468933821128348,1.6722349657909283,0.2113139818231099
2025-01-01 01:20:00,G01,19708718.069275223,12297119.94677129,12886931.02965764,19708719.681,12297120.024,12886933.660999998,-1.611724779009819,-0.0772287100553512,-2.631342358887196,3.0866784164543435,-2.507939022978981,1.773259282272863,0.305576539442187
2025-01-01 01:25:00,G01,19930167.453760445,12724133.363973128,12108010.345456732,19930169.164,12724133.433999998,12108013.025,-1.7102395556867125,-0.070026870816946,-2.6795432679355145,3.1795872727777788,-2.537902722628985,1.872959943476143,0.4010561629206838
2025-01-01 01:30:00,G01,20141097.009395048,13123427.059176844,11305920.365686633,20141098.815,13123427.121,11305923.085,-1.8056049533188343,-0.0618231557309627,-2.719313368201256,3.264765924918984,-2.556820168231945,1.968370323829155,0.4968756787197134
2025-01-01 01:35:00,G01,20339988.215940632,13494920.910134656,10482195.351358654,20339990.116,13494920.966,10482198.1,-1.9000593684613705,-0.0558653436601161,-2.7486413456499577,3.34191199574682,-2.567763301137232,2.0554687866352443,0.5916210643795227
2025-01-01 01:40:00,G01,20525338.603541218,13838640.738726474,9638411.042131752,20525340.596,13838640.793,9638413.808,-1.9924587830901144,-0.0542735252529382,-2.765868248417973,3.4092322868151754,-2.5712658165633995,2.132076933047671,0.6824257011584587
2025-01-01 01:45:00,G01,20695668.53133257,14154717.42961353,8776181.647842702,20695670.614,14154717.487,8776184.417000001,-2.0826674290001392,-0.0573864690959453,-2.769157299771905,3.465404590741661,-2.5679523927253274,2.196409908330664,0.768396382615463
2025-01-01 01:50:00,G01,20849527.88538294,14443385.603519086,7897156.765453672,20849530.056,14443385.671,7897159.523,-2.170617062598467,-0.0674809142947197,-2.757546328008175,3.510013369967274,-2.560087936608091,2.2469294099865467,0.8470252893038388
2025-01-01 01:55:00,G01,20985502.6669398,14704981.851102524,7003018.227278239,20985504.924,14704981.935,7003020.957,-2.2570601999759674,-0.0838974770158529,-2.7297217613086104,3.5429846778001965,-2.54910406506342,2.282716389405585,0.9187027692040765
2025-01-01 02:00:00,G01,21102221.442412373,14939942.535284184,6095476.886492091,21102223.784,14939942.644,6095479.573,-2.3415876291692257,-0.1087158154696226,-2.686507908627391,3.565413930629808,-2.537711760427695,2.304402422539981,0.9807777488850048
2025-01-01 02:05:00,G01,21198361.627097603,15148801.171738802,5176269.346068866,21198364.052,15148801.312,5176271.971,-2.4249023981392384,-0.1402611993253231,-2.624931134283542,3.576323294148432,-2.526573392460968,2.3098948018482885,1.034843563622648
2025-01-01 02:10:00,G01,21272655.575355627,15332185.399098027,4247154.637403522,21272658.083,15332185.579000002,4247157.185,-2.50764437392354,-0.1799019742757082,-2.5475964779034257,3.57923076102179,-2.519307038017648,2.301880383598119,1.079505251698917
2025-01-01 02:15:00,G01,21323896.45076235,15490813.552169984,3309910.8549949653,21323899.041,15490813.779,3309913.308,-2.5902376510202885,-0.2268300149589777,-2.45300503494218,3.57463517661608,-2.517232632455505,2.2796857658875287,1.1156116388833497
2025-01-01 02:20:00,G01,21350943.85069841,15625490.85320337,2366331.753655961,21350946.522,15625491.134,2366334.098,-2.6713015884160995,-0.280796630308032,-2.3443440394476056,3.565199559514199,-2.521126970215076,2.247225802826695,1.1421658768866756
2025-01-01 02:25:00,G01,21352729.160881784,15737105.237871816,1418223.3148020057,21352731.913,15737105.577,1418225.5359999998,-2.752118214964866,-0.3391281832009554,-2.221197994193062,3.552869702534821,-2.531778367106569,2.205048314868481,1.1622148476666143
2025-01-01 02:30:00,G01,21328260.61650419,15826622.83423435,467400.2884399903,21328263.45,15826623.237,467402.374,-2.8334958106279373,-0.4027656503021717,-2.0855600096983835,3.541253906734524,-2.5517693617834363,2.155707603506726,1.175532681131907
2025-01-01 02:35:00,G01,21276628.04788576,15895083.114431562,-484317.2824666094,21276630.964,15895083.584,-484315.342,-2.916114240884781,-0.4695684388279915,-1.940466609376017,3.534066700946324,-2.5813947870059466,2.1032063001734653,1.1842937385914023
2025-01-01 02:40:00,G01,21197007.28991541,15943593.740290863,-1435107.5485374955,21197010.29,15943594.278,-1435105.762,-3.000084590166807,-0.5377091374248266,-1.7865374954417348,3.532896104790759,-2.6203009803300668,2.048999783460684,1.1903686601658658
2025-01-01 02:45:00,G01,21088664.23598775,15973325.125339832,-2383150.344674533,21088667.322,15973325.731,-2383148.716,-3.086012251675129,-0.605660168454051,-1.628674532752484,3.5415923806640017,-2.6681720567575997,1.9987406235159872,1.195311836393398
2025-01-01 02:50:00,G01,20950958.518672816,15985504.73695579,-3326630.6781609445,20950961.693,15985505.409,-3326629.211,-3.174327183514833,-0.6720442101359367,-1.4671609443612397,3.5609770744891653,-2.7244626093118387,1.9534126110803087,1.200849860045604
2025-01-01 02:55:00,G01,20783346.800961632,15981411.163502889,-4263742.207403448,20783350.068,15981411.898,-4263740.901000001,-3.267038367688656,-0.7344971112906933,-1.3064034478738904,3.594400599691264,-2.788514216325015,1.9183043627282932,1.209963845886233
2025-01-01 03:00:00,G01,20585385.663606465,15962367.972324692,-5192690.70457535,20585389.027000003,15962368.763,-5192689.554,-3.363393537700176,-0.7906753085553646,-1.1505753500387073,3.6416215027263776,-2.8568755988452,1.897868509279765,1.2238317299883177
2025-01-01 03:05:00,G01,20356733.887409706,15929737.581890091,-6111697.931274955,20356737.542,15929738.225,-6111696.495,-3.654590293765068,-0.6431099083274603,-1.4362749550491571,3.979008207577896,-2.8561043005994766,2.35515354752548,1.45891271419766
2025-01-01 03:10:00,G01,20097155.2674658,15884914.043878566,-7019003.347369229,20097159.013,15884914.679,-7019002.009,-3.7455342002213,-0.6351214330643415,-1.3383692298084495,4.027857727758414,-2.860174983672612,2.4040838474933954,1.5044659491187935
2025-01-01 03:15:00,G01,19806519.042624906,15829317.461240675,-7912869.95385957,19806522.881,15829318.09,-7912868.720000001,-3.8383750952780247,-0.6287593245506287,-1.2338595697656274,4.0805478919089,-2.8694226721538687,2.4543057816371325,1.5471482659764924
2025-01-01 03:20:00,G01,19484801.852961022,15764386.664774103,-8791586.045669757,19484805.786,15764387.289,-8791584.924999999,-3.933038976043463,-0.6242258977144957,-1.1206697579473257,4.1369498745854045,-2.8848208624731857,2.5046361079871757,1.587123442848262
2025-01-01 03:25:00,G01,19132088.252360545,15691572.57936744,-9653468.870502604,19132092.283000004,15691573.2,-9653467.87,-4.030639458447695,-0.6206325590610504,-1.0005026049911976,4.199076646115949,-2.90639864957342,2.5578611385930548,1.625557739789519
2025-01-01 03:30:00,G01,18748570.969096936,15612331.412700783,-10496867.856025511,18748575.098,15612332.032,-10496866.982,-4.128903064876795,-0.619299216195941,-0.8740255106240511,4.265594053769244,-2.9331690837162894,2.614621703833965,1.659989489039869
2025-01-01 03:35:00,G01,18334550.712370675,15528117.834478768,-11320167.775387412,18334554.941,15528118.454,-11320167.035,-4.228629324585199,-0.6195212323218584,-0.740387411788106,4.337428505644072,-2.9657090320068127,2.6751371483928867,1.6915960558996794
2025-01-01 03:40:00,G01,17890435.52534869,15440378.175884768,-12121791.84495404,17890439.855,15440378.797,-12121791.243,-4.329651311039925,-0.6211152318865061,-0.6019540391862392,4.415202517638777,-3.0027913978282177,2.742124654859545,1.7198864701206529
2025-01-01 03:45:00,G01,17416739.687190745,15350543.678851802,-12900204.748286562,17416744.117999997,15350544.303,-12900204.29,-4.430809251964092,-0.6241481974720955,-0.4582865629345178,4.497961557579678,-3.0437261388233225,2.815217421041337,1.744115889949298
2025-01-01 03:50:00,G01,16914082.168492224,15260023.8245236,-13653915.580537738,16914086.702,15260024.452,-13653915.269,-4.533507775515318,-0.6274763997644186,-0.3115377388894558,4.587316769710974,-3.087523244436917,2.8973607675895927,1.7652127189565288
2025-01-01 03:55:00,G01,16383184.646495191,15170199.769930054,-14381480.707600612,16383189.281,15170200.4,-14381480.546999998,-4.634504808112979,-0.6300699468702078,-0.1606006138026714,4.679894818425425,-3.131787712548926,2.986088396920212,1.7823011307944534
2025-01-01 04:00:00,G01,15824869.088312969,15082417.921426056,-15081506.53451661,15824873.823,15082418.555,-15081506.528,-4.734687032178044,-0.6335739437490702,-0.0065166093409061,4.776894357327781,-3.177255448845582,3.0831123200054744,1.7939303041315486
2025-01-01 04:05:00,G01,15240054.912271652,14997983.672843993,-15752652.177831553,15240059.746,14997984.307999998,-15752652.326,-4.833728346973658,-0.6351560056209564,0.148168446496129,4.877530806909387,-3.220323247818353,3.189984615776142,1.8010616599723428
2025-01-01 04:10:00,G01,14629755.739284504,14918155.335590364,-16393632.036780214,14629760.67,14918155.972,-16393632.342,-4.930715495720506,-0.6364096347242594,0.3052197862416506,4.980976976540002,-3.2620149882325262,3.3048472922322776,1.8020472336742208
2025-01-01 04:15:00,G01,13995075.747936478,14844138.287079718,-17003218.258380964,13995080.772,14844138.922,-17003218.720000003,-5.0240635219961405,-0.6349202822893858,0.4616190381348133,5.085020174422438,-3.297931861700553,3.428267841195859,1.796678941515656
2025-01-01 04:20:00,G01,13337205.648657013,14777079.362947913,-17580243.091731906,13337210.762999998,14777079.995,-17580243.711,-5.114342985674739,-0.6320520862936974,0.6192680932581425,5.190326288995346,-3.330033763786557,3.5590152886151127,1.7843128351501638
2025-01-01 04:25:00,G01,12657418.293993397,14718061.517425656,-18123601.127018027,12657423.494,14718062.144,-18123601.903,-5.200006604194641,-0.6265743430703878,0.7759819738566875,5.294791035991174,-3.355153746282204,3.696724563698,1.764081334228334
2025-01-01 04:30:00,G01,11957063.943557529,14668098.775087737,-18632251.414964568,11957069.224,14668099.393,-18632252.348,-5.280442470684648,-0.6179122626781464,0.9330354332923888,5.39772575909126,-3.3733499081130884,3.839380994470414,1.7364064463973052
2025-01-01 04:35:00,G01,11237565.203698209,14628131.495927356,-19105219.46270467,11237570.56,14628132.103,-19105220.552,-5.3563017919659615,-0.6070726439356804,1.089295331388712,5.499551836342492,-3.384544843281707,3.987498129021684,1.6999368445568332
2025-01-01 04:40:00,G01,10500411.66334438,14599021.9743455,-19541599.10226907,10500417.089,14599022.568,-19541600.347,-5.42565562017262,-0.5936545003205538,1.244730930775404,5.598171099965647,-3.3875470626306385,4.138576998989183,1.654153858137387
2025-01-01 04:45:00,G01,9747154.248764943,14581550.391196722,-19940554.228151,9747159.737,14581550.969,-19940555.629,-5.488235056400299,-0.5778032783418894,1.400848999619484,5.693589253054591,-3.383474659293472,4.290734369529335,1.5995800644410891
2025-01-01 04:50:00,G01,8979399.321193071,14576411.136502763,-20301320.40065106,8979404.864,14576411.696,-20301321.958,-5.54280692897737,-0.5594972372055054,1.5573489405214789,5.78455543087829,-3.371791176763537,4.442165319526752,1.5359925348766723
2025-01-01 04:55:00,G01,8198802.542362602,14584209.518839523,-20623206.311963063,8198808.133,14584210.058999998,-20623208.026,-5.590637397952378,-0.5401604752987623,1.71403693780303,5.872386438119677,-3.353756478213481,4.5932177663664175,1.462733917767995
2025-01-01 05:00:00,G01,7407062.533995382,14605458.87572913,-20905595.112223025,7407068.163,14605459.396,-20905596.985,-5.629004618152976,-0.5202708691358566,1.872776973992586,5.955137980162654,-3.3304827782871547,4.739846500814786,1.380365160029129
2025-01-01 05:05:00,G01,6605914.503077632,14640578.018040633,-21147945.51041532,6605920.018,14640578.598,-21147947.627,-5.514922368340194,-0.5799593664705753,2.1165846809744835,5.935541450222702,-3.37714809896484,4.717592019281597,1.252935977845863
2025-01-01 05:10:00,G01,5797122.946779645,14689889.47600232,-21349793.115317296,5797128.528,14689890.058,-21349795.424,-5.581220354884863,-0.5819976795464754,2.3086827024817467,6.067846221643807,-3.39640518166996,4.892128414351971,1.1620108385606946
2025-01-01 05:15:00,G01,4982475.85688022,14753617.469698248,-21510750.920660995,4982481.499000001,14753618.053,-21510753.422,-5.642119781114161,-0.5833017509430647,2.501339003443718,6.199230062454673,-3.408802912693964,5.067998710988501,1.0610867707543077
2025-01-01 05:20:00,G01,4163777.128193141,14831886.980723972,-21630510.28713588,4163782.825,14831887.564,-21630512.98,-5.696806859225035,-0.5832760278135538,2.6928641200065613,6.32813846915142,-3.412436839253732,5.243850990539879,0.9500726771526572
2025-01-01 05:25:00,G01,3342839.788644322,14924722.964048846,-21708841.48462839,3342845.531,14924723.547,-21708844.368,-5.742355677764863,-0.5829511545598507,2.8833716101944447,6.452000668090195,-3.407609454536543,5.415663982876992,0.8289113649591284
2025-01-01 05:30:00,G01,2521479.01033032,15032050.06489354,-21745594.134802856,2521484.788,15032050.649,-21745597.208,-5.777669680304825,-0.5841064602136612,3.0731971450150013,6.57017412126234,-3.39580624610804,5.581142150426816,0.6975243503477999
2025-01-01 05:35:00,G01,1701505.1147951994,15153692.7858684,-21740697.501815323,1701510.916,15153693.371,-21740700.764,-5.801204800605774,-0.585131598636508,3.262184675782919,6.6811829031397805,-3.376337885276113,5.73815313144218,0.558700375672696
2025-01-01 05:40:00,G01,884716.6022349193,15289376.103752222,-21694160.630589608,884722.4149999999,15289376.693,-21694164.08,-5.812765080598183,-0.5892477780580521,3.449410390108824,6.784827401309385,-3.350892431834342,5.885276937097383,0.4109965322282349
2025-01-01 05:45:00,G01,72893.23423725367,15438726.533346511,-21606072.33236934,72899.045,15438727.129,-21606075.967,-5.81076274633233,-0.5956534892320633,3.634630661457777,6.879702523990916,-3.319486177332223,6.020401071471806,0.2570783455065837
2025-01-01 05:50:00,G01,-732210.8005648735,15601273.633907383,-21476601.017545264,-732205.006,15601274.24,-21476604.836,-5.794564873445779,-0.6060926169157028,3.81845473498106,6.965983555532607,-3.284491942530813,6.142264023696047,0.0981439687913385
2025-01-01 05:55:00,G01,-1528873.608903023,15776451.951742098,-21305994.37604273,-1528867.844,15776452.573,-21305998.376,-5.764903022907674,-0.6212579030543566,3.9999572671949855,7.044127084672985,-3.24646413378028,6.251078762715758,-0.0648946486683557
2025-01-01 06:00:00,G01,-2315412.174799023,15963603.39066975,-21094578.90583985,-2315406.455,15963604.033,-21094583.085,-5.719799023121595,-0.6423302497714758,4.17916015163064,7.112950765164319,-3.2072006259329715,6.344681637345629,-0.2301035710197227
2025-01-01 06:05:00,G01,-3090188.77306171,16161980.000192871,-20842759.290472142,-3090183.113,16161980.67,-20842763.646,-5.660061710048467,-0.6698071286082268,4.355527859181166,7.173253312353777,-3.16758905293525,6.423788081120213,-0.3960926202002461
2025-01-01 06:10:00,G01,-3851617.187129288,16370747.169416742,-20551017.62666391,-3851611.6,16370747.873,-20551022.156,-5.587129287887365,-0.7035832572728395,4.529336091130972,7.226750895520408,-3.1286185422032413,6.490218388971771,-0.5610167437249634
2025-01-01 06:15:00,G01,-4598168.704867066,16588987.212994276,-20219912.503509466,-4598163.205,16588987.96,-20219917.203,-5.499867065809667,-0.7470057252794504,4.699490536004305,7.272672589438641,-3.09264691708487,6.54225563091825,-0.7253915488451983
2025-01-01 06:20:00,G01,-5328377.866881395,16815703.33367321,-19850077.934909232,-5328372.466,16815704.132,-19850082.801,-5.400881394743919,-0.7983267903327942,4.866090767085552,7.313390790718717,-3.059229225859393,6.583307771986671,-0.8870513968857505
2025-01-01 06:25:00,G01,-6040847.942969657,17049823.944386724,-19442222.14724489,-6040842.652000001,17049824.804,-19442227.177,-5.29096965584904,-0.8596132770180702,5.029755111783743,7.35062795750511,-3.0307969690392915,6.614534634548862,-1.045912362710916
2025-01-01 06:30:00,G01,-6734256.113488735,17290207.33126621,-18997126.22455471,-6734250.942,17290208.261,-18997131.413,-5.171488734893501,-0.9297337904572488,5.188445288687944,7.384352725185635,-3.0055877732097533,6.637164431549143,-1.2013141204811948
2025-01-01 06:35:00,G01,-7407358.333689951,17535646.637470983,-18515642.613744043,-7407353.291,17535647.648,-18515647.956,-5.042689951136708,-1.0105290152132511,5.342255957424641,7.415496581384288,-2.985539230936453,6.6516743218746734,-1.3532825886615627
2025-01-01 06:40:00,G01,-8058993.860427415,17784875.146332085,-17998693.492636316,-8058988.953,17784876.246,-17998698.985,-4.907427415251732,-1.09966791421175,5.492363683879376,7.447024385182859,-2.9697623443968317,6.662436514843977,-1.5002078179320435
2025-01-01 06:45:00,G01,-8688089.422093455,18036571.84100221,-17447269.003936213,-8688084.655000001,18036573.041,-17447274.64,-4.767093453556299,-1.199997790157795,5.636063788086176,7.478662294468124,-2.9583375158902565,6.668745102267364,-1.6451345287728083
2025-01-01 06:50:00,G01,-9293663.014167696,18289367.21659529,-16862425.358438384,-9293658.391,18289368.526,-16862431.134,-4.623167695477605,-1.3094047121703625,5.775561615824699,7.513010862427211,-2.951213033551093,6.674279785091317,-1.785962821524798
2025-01-01 06:55:00,G01,-9874827.304374604,18541849.31969444,-16245282.811071848,-9874822.825,18541850.747,-16245288.72,-4.4793746042996645,-1.4273055605590343,5.9089281521737576,7.550988671452176,-2.9456268003499404,6.680953838666476,-1.9249853181432184
2025-01-01 07:00:00,G01,-10430792.63312038,18792569.98911089,-15597023.51362118,-10430788.298,18792571.543,-15597029.551,-4.335120379924774,-1.5538891106843948,6.0373788215219975,7.593272226866689,-2.942746129990242,6.689505488677719,-2.0611998065891424
2025-01-01 07:05:00,G01,-10960869.887533069,19040051.324580915,-14918889.146602584,-10960865.404,19040052.959,-14918895.407,-4.483533069491386,-1.634419083595276,6.260397415608168,7.871846691050119,-2.83827972473693,6.960714710051296,-2.336362398434681
2025-01-01 07:10:00,G01,-11464471.495863196,19282792.0614534,-14212178.971014643,-11464467.147,19282793.809,-14212185.321,-4.348863195627928,-1.7475466020405293,6.349985357373953,7.892328190049763,-2.789803643428433,6.9576948248279775,-2.469073230005458
2025-01-01 07:15:00,G01,-11941114.870381627,19519274.48322729,-13478246.64748984,-11941110.662,19519276.354,-13478253.079,-4.208381626754999,-1.8707727082073689,6.431510159745812,7.910410190192174,-2.7469166676258867,6.94946101873321,-2.5950009147055924
2025-01-01 07:20:00,G01,-12390422.54965011,19747971.068624686,-12718498.123644518,-12390418.486,19747973.075000003,-12718504.63,-4.063650110736489,-2.006375316530466,6.506355483084917,7.929152275340698,-2.71201909256624,6.938368245417294,-2.7157787719329614
2025-01-01 07:25:00,G01,-12812123.299815444,19967351.341940485,-11934388.809059331,-12812119.385,19967353.494,-11934395.383,-3.9148154444992542,-2.1520595140755177,6.573940668255091,7.948197029915089,-2.683653994153783,6.9256057211023645,-2.8298096511687265
2025-01-01 07:30:00,G01,-13206052.486772977,20175888.73167087,-11127420.781890718,-13206048.722,20175891.041,-11127427.417,-3.764772977679968,-2.309329129755497,6.635109281167388,7.970645631066544,-2.6624282967588817,6.913802960827338,-2.939727191341556
2025-01-01 07:35:00,G01,-13572151.994606089,20372067.42955084,-10299139.905473756,-13572148.38,20372069.906,-10299146.594,-3.614606088027358,-2.4764491580426693,6.688526244834065,7.995909012226738,-2.646285752977353,6.903425694023362,-3.045397565589083
2025-01-01 07:40:00,G01,-13910469.691005586,20554389.220232178,-9451132.860490842,-13910466.226,20554391.874,-9451139.596,-3.465005585923791,-2.6537678241729736,6.735509159043431,8.02594735882667,-2.6359640101988626,6.896567553283332,-3.1472020473100635
2025-01-01 07:45:00,G01,-14221158.44233033,20721380.25195013,-8585024.09845423,-14221155.124000002,20721383.092,-8585030.872,-3.318330328911543,-2.840049870312214,6.773545769974589,8.059660150128867,-2.628614676318227,6.892612668145072,-3.246597792450703
2025-01-01 07:50:00,G01,-14504474.68291952,20871597.7187713,-7702472.72241208,-14504471.509,20871600.752,-7702479.526000001,-3.1739195212721825,-3.033228699117899,6.803587920963764,8.097101337327398,-2.62356353787544,6.893012917985588,-3.3416069999572717
2025-01-01 07:55:00,G01,-14760776.545192065,21003636.425392,-6805169.300937632,-14760773.510000002,21003639.659,-6805176.125,-3.0351920630782843,-3.23360800370574,6.824062367901206,8.138577196439721,-2.6189432107345074,6.897559369502027,-3.435294745076624
2025-01-01 08:00:00,G01,-14990521.558969218,21116135.20595644,-5894832.621598302,-14990518.658000002,21116138.645,-5894839.457,-2.9009692166000605,-3.4390435591340065,6.83540169801563,8.183236485066114,-2.614069929794632,6.90680222558311,-3.525348321703956
2025-01-01 08:05:00,G01,-15194263.930319976,21207783.16899044,-4973206.390225803,-15194261.157000002,21207786.818,-4973213.227,-2.773319974541664,-3.649009559303522,6.836774197407067,8.230920718328619,-2.6074093828448057,6.920588885569069,-3.6131595119233326
